Geography,Cases,Population,Case_Rate,ObjectId
Alameda County,8478,1685886,502.9,1
Berkeley LHJ,291,124553.1859,233.6,2
Alameda County LHJ,8187,1561332.814,524.4,3
Under Investigation,444,NA,NA,4
Homeless,102,NA,NA,5
Address Unknown,37,NA,NA,6
Santa Rita Jail,65,NA,NA,7
Alameda,133,80104.31702,166,8
Albany,23,19586.51338,117.4,9
Dublin,88,65219.06197,134.9,10
Emeryville,38,12004.00847,316.6,11
Fremont,435,234841.1497,185.2,12
Hayward,1292,161016.5678,802.4,13
Livermore,336,91943.68773,365.4,14
Newark,213,49196.55038,433,15
Oakland,3259,437194.9877,745.4,16
Piedmont,18,11534.37675,156.1,17
Pleasanton,170,81292.00067,209.1,18
San Leandro,429,90717.6273,472.9,19
Union City,264,75660.64284,348.9,20
"Eden Area MAC (Ashland, Cherryland, Hayward Acres, San Lorenzo)",508,69137.06614,734.8,21
Castro Valley MAC,245,65269.06603,375.4,22
Fairview MAC,75,10725.38585,699.3,23
Sunol,<10,996.8187168,NA,24
Remainder of County,12,4892.985567,245.2,25
