Geography,Cases,Population,Case_Rate,ObjectId
Alameda County,12136,1685886,719.9,1
Berkeley LHJ,408,124553.1859,327.6,2
Alameda County LHJ,11728,1561332.814,751.2,3
Under Investigation,392,NA,NA,4
Homeless,117,NA,NA,5
Address Unknown,86,NA,NA,6
Alameda,188,80104.31702,234.7,7
Albany,32,19586.51338,163.4,8
Dublin,139,65219.06197,213.1,9
Emeryville,52,12004.00847,433.2,10
Fremont,703,234841.1497,299.4,11
Hayward,1737,161016.5678,1078.8,12
Livermore,522,91943.68773,567.7,13
Newark,294,49196.55038,597.6,14
Oakland,4823,437194.9877,1103.2,15
Piedmont,23,11534.37675,199.4,16
Pleasanton,242,81292.00067,297.7,17
San Leandro,608,90717.6273,670.2,18
Union City,358,75660.64284,473.2,19
"Eden Area MAC (Ashland, Cherryland, Hayward Acres, San Lorenzo)",705,69137.06614,1019.7,20
Castro Valley MAC,338,65269.06603,517.9,21
Fairview MAC,97,10725.38585,904.4,22
Sunol,NA,996.8187168,NA,23
Remainder of County,19,4892.985567,388.3109758,24
