Geography,Cases,Population,Case_Rate,ObjectId
Alameda County,6156,1685886,365.1,1
Berkeley LHJ,159,124553.1859,127.7,2
Alameda County LHJ,5997,1561332.814,384.1,3
Under Investigation,283,NA,NA,4
Homeless,89,NA,NA,5
Address Unknown,10,NA,NA,6
Santa Rita Jail*,60,NA,NA,7
Alameda,92,80104.31702,114.9,8
Albany,14,19586.51338,71.5,9
Dublin,55,65219.06197,84.3,10
Emeryville,26,12004.00847,216.6,11
Fremont,307,234841.1497,130.7,12
Hayward,1027,161016.5678,637.8,13
Livermore,179,91943.68773,194.7,14
Newark,166,49196.55038,337.4,15
Oakland,2401,437194.9877,549.2,16
Piedmont,14,11534.37675,121.4,17
Pleasanton,124,81292.00067,152.5,18
San Leandro,301,90717.6273,331.8,19
Union City,198,75660.64284,261.7,20
"Eden Area MAC (Ashland, Cherryland, Hayward Acres, San Lorenzo)",383,69137.06614,554,21
Castro Valley MAC,193,65269.06603,295.7,22
Fairview MAC,65,10725.38585,606,23
Sunol,<10,996.8187168,NA,24
Remainder of County,<10,4892.985567,NA,25
* SRJ notes total 63,"1 released and outside Alameda LHJ; 1 not yet in CalREDIE; 1 tested positive twice",,,26
