Geography,Cases,Population,Case_Rate,ObjectId
Alameda County,11524,1685886,683.6,1
Berkeley LHJ,402,124553.1859,322.8,2
Alameda County LHJ,11122,1561332.814,712.3,3
Under Investigation,392,NA,NA,4
Homeless,117,NA,NA,5
Address Unknown,87,NA,NA,6
Alameda,181,80104.31702,226,7
Albany,31,19586.51338,158.3,8
Dublin,131,65219.06197,200.9,9
Emeryville,51,12004.00847,424.9,10
Fremont,641,234841.1497,273,11
Hayward,1654,161016.5678,1027.2,12
Livermore,505,91943.68773,549.2,13
Newark,267,49196.55038,542.7,14
Oakland,4618,437194.9877,1056.3,15
Piedmont,23,11534.37675,199.4,16
Pleasanton,230,81292.00067,282.9,17
San Leandro,596,90717.6273,657,18
Union City,344,75660.64284,454.7,19
"Eden Area MAC (Ashland, Cherryland, Hayward Acres, San Lorenzo)",686,69137.06614,992.2,20
Castro Valley MAC,325,65269.06603,497.9,21
Fairview MAC,95,10725.38585,885.7,22
Sunol,NA,996.8187168,NA,23
Remainder of County,18,4892.985567,367.873556,24
