Geography,Cases,Population,Case_Rate,ObjectId
Alameda County,9383,1685886,556.6,1
Berkeley LHJ,332,124553.1859,266.6,2
Alameda County LHJ,9051,1561332.814,579.7,3
Under Investigation,488,NA,NA,4
Homeless,111,NA,NA,5
Address Unknown,37,NA,NA,6
Santa Rita Jail,70,NA,NA,7
Alameda,149,80104.31702,186,8
Albany,28,19586.51338,143,9
Dublin,102,65219.06197,156.4,10
Emeryville,44,12004.00847,366.5,11
Fremont,483,234841.1497,205.7,12
Hayward,1379,161016.5678,856.4,13
Livermore,371,91943.68773,403.5,14
Newark,223,49196.55038,453.3,15
Oakland,3687,437194.9877,843.3,16
Piedmont,20,11534.37675,173.4,17
Pleasanton,183,81292.00067,225.1,18
San Leandro,474,90717.6273,522.5,19
Union City,291,75660.64284,384.6,20
"Eden Area MAC (Ashland, Cherryland, Hayward Acres, San Lorenzo)",546,69137.06614,789.7,21
Castro Valley MAC,267,65269.06603,409.1,22
Fairview MAC,81,10725.38585,755.2,23
Sunol,<10,996.8187168,NA,24
Remainder of County,14,4892.985567,286.1,25
