Geography,Cases,Population,Case_Rate,ObjectId
Alameda County,10330,1685886,612.7,1
Berkeley LHJ,362,124553.1859,290.6,2
Alameda County LHJ,9968,1561332.814,638.4,3
Under Investigation,392,NA,NA,4
Homeless,112,NA,NA,5
Address Unknown,37,NA,NA,6
Alameda,158,80104.31702,197.2,7
Albany,28,19586.51338,143,8
Dublin,112,65219.06197,171.7,9
Emeryville,49,12004.00847,408.2,10
Fremont,567,234841.1497,241.4,11
Hayward,1499,161016.5678,931,12
Livermore,429,91943.68773,466.6,13
Newark,241,49196.55038,489.9,14
Oakland,4082,437194.9877,933.7,15
Piedmont,23,11534.37675,199.4,16
Pleasanton,217,81292.00067,266.9,17
San Leandro,530,90717.6273,584.2,18
Union City,316,75660.64284,417.7,19
"Eden Area MAC (Ashland, Cherryland, Hayward Acres, San Lorenzo)",616,69137.06614,891,20
Castro Valley MAC,293,65269.06603,448.9,21
Fairview MAC,85,10725.38585,792.5,22
Sunol,NA,996.8187168,NA,23
Remainder of County,16,4892.985567,326.9987165,24
