Geography,Cases,Population,Case_Rate,ObjectId
Alameda County,5963,1685886,353.7,1
Berkeley LHJ,151,124553.1859,121.2,2
Alameda County LHJ,5812,1561332.814,372.2,3
Under Investigation,265,NA,NA,4
Homeless,90,NA,NA,5
Address Unknown,11,NA,NA,6
Santa Rita Jail*,60,NA,NA,7
Alameda,86,80104.31702,107.4,8
Albany,13,19586.51338,66.4,9
Dublin,53,65219.06197,81.3,10
Emeryville,23,12004.00847,191.6,11
Fremont,290,234841.1497,123.5,12
Hayward,987,161016.5678,613,13
Livermore,169,91943.68773,183.8,14
Newark,162,49196.55038,329.3,15
Oakland,2352,437194.9877,538,16
Piedmont,13,11534.37675,112.7,17
Pleasanton,119,81292.00067,146.4,18
San Leandro,290,90717.6273,319.7,19
Union City,193,75660.64284,255.1,20
"Eden Area MAC (Ashland, Cherryland, Hayward Acres, San Lorenzo)",375,69137.06614,542.4,21
Castro Valley MAC,188,65269.06603,288,22
Fairview MAC,64,10725.38585,596.7,23
Sunol,<10,996.8187168,NA,24
Remainder of County,<10,4892.985567,NA,25
* SRJ notes total 63,"1 released and outside Alameda LHJ; 1 not yet in CalREDIE; 1 tested positive twice",,,26
