ObjectId,Geography,Cases,Population,Case_Rate
1,Alameda County,10438,1685886,619.1
2,Berkeley LHJ,363,124553.1859,291.4
3,Alameda County LHJ,10075,1561332.814,645.3
4,Under Investigation,392,NA,NA
5,Homeless,114,NA,NA
6,Address Unknown,60,NA,NA
7,Alameda,162,80104.31702,202.2
8,Albany,28,19586.51338,143
9,Dublin,112,65219.06197,171.7
10,Emeryville,50,12004.00847,416.5
11,Fremont,574,234841.1497,244.4
12,Hayward,1513,161016.5678,939.7
13,Livermore,429,91943.68773,466.6
14,Newark,242,49196.55038,491.9
15,Oakland,4156,437194.9877,950.6
16,Piedmont,23,11534.37675,199.4
17,Pleasanton,219,81292.00067,269.4
18,San Leandro,536,90717.6273,590.8
19,Union City,319,75660.64284,421.6
20,"Eden Area MAC (Ashland, Cherryland, Hayward Acres, San Lorenzo)",622,69137.06614,899.7
21,Castro Valley MAC,295,65269.06603,452
22,Fairview MAC,85,10725.38585,792.5
23,Sunol,NA,996.8187168,NA
24,Remainder of County,16,4892.985567,326.9987165
