Geography,Cases,Population,Case_Rate,ObjectId
Alameda County,10370,1685886,615.1,1
Berkeley LHJ,362,124553.1859,290.6,2
Alameda County LHJ,10008,1561332.814,641,3
Under Investigation,392,NA,NA,4
Homeless,114,NA,NA,5
Address Unknown,60,NA,NA,6
Alameda,161,80104.31702,201,7
Albany,28,19586.51338,143,8
Dublin,112,65219.06197,171.7,9
Emeryville,50,12004.00847,416.5,10
Fremont,569,234841.1497,242.3,11
Hayward,1502,161016.5678,932.8,12
Livermore,428,91943.68773,465.5,13
Newark,241,49196.55038,489.9,14
Oakland,4129,437194.9877,944.4,15
Piedmont,23,11534.37675,199.4,16
Pleasanton,218,81292.00067,268.2,17
San Leandro,532,90717.6273,586.4,18
Union City,318,75660.64284,420.3,19
"Eden Area MAC (Ashland, Cherryland, Hayward Acres, San Lorenzo)",619,69137.06614,895.3,20
Castro Valley MAC,294,65269.06603,450.4,21
Fairview MAC,85,10725.38585,792.5,22
Sunol,NA,996.8187168,NA,23
Remainder of County,16,4892.985567,326.9987165,24
