DtCreate,Berkeley_LHJ,Under_Investigation,Known_Homeless,No_Address__May_Be_Homeless_,Santa_Rita_Jail,Alameda,Albany,Dublin,Emeryville,Fremont,Hayward,Livermore,Newark,Oakland,Piedmont,Pleasanton,San_Leandro,Union_City,Eden_Area_MAC,Castro_Valley_MAC,Fairview_MAC,Remainder_of_County,F94501,F94502,F94536,F94538,F94539,F94541,F94542,F94544,F94545,F94546,F94550,F94551,F94552,F94555,F94560,F94566,F94568,F94577,F94578,F94579,F94580,F94587,F94588,F94601,F94602,F94603,F94605,F94606,F94607,F94608,F94609,F94610,F94611,F94612,F94618,F94619,F94621,F94702,F94703,F94704,F94705,F94706,F94707,F94708,F94709,F94710,ObjectId
2020/04/21 07:00:00+00,46,<10,,,32,29,<10,19,<10,93,255,33,51,372,10,49,82,58,84,79,<10,<10,23,<10,26,29,23,89,17,148,45,60,20,13,<10,13,51,30,51,48,48,17,28,58,19,52,15,39,41,22,16,15,<10,13,28,11,<10,71,52,<10,11,<10,<10,<10,<10,<10,<10,<10,1
2020/04/22 07:00:00+00,46,<10,,,32,32,<10,19,<10,95,260,33,54,385,10,50,83,60,92,82,<10,<10,26,<10,26,30,23,94,19,150,45,62,20,13,<10,14,54,31,51,49,52,17,28,60,19,56,15,40,42,22,18,16,<10,14,28,11,<10,74,52,<10,11,<10,<10,<10,<10,<10,<10,<10,2
2020/04/23 07:00:00+00,47,<10,,,32,33,<10,21,<10,95,269,33,55,405,10,51,85,62,102,83,<10,<10,27,<10,26,30,23,101,20,156,47,63,20,13,<10,14,55,32,53,49,56,17,29,62,19,62,15,40,43,22,19,17,<10,16,29,11,<10,83,52,<10,11,<10,<10,<10,<10,<10,<10,<10,3
2020/04/24 07:00:00+00,47,<10,,,32,33,<10,22,<10,97,278,33,56,413,10,51,86,63,103,83,<10,<10,27,<10,26,31,23,103,20,161,50,63,20,13,<10,15,56,32,54,50,56,17,29,63,19,62,15,40,46,22,19,18,<10,16,29,12,<10,83,55,<10,11,<10,<10,<10,<10,<10,<10,<10,4
2020/04/25 07:00:00+00,47,<10,,,32,33,<10,22,<10,98,284,33,56,430,10,51,87,63,107,84,<10,<10,27,<10,26,32,23,104,20,165,52,64,20,13,<10,15,56,32,54,50,59,17,30,63,19,66,17,42,48,22,19,18,<10,17,29,12,<10,83,61,<10,11,<10,<10,<10,<10,<10,<10,<10,5
2020/04/26 07:00:00+00,48,<10,,,33,33,<10,24,<10,99,290,35,56,443,10,51,90,66,111,85,<10,<10,27,<10,26,32,23,108,20,169,53,64,21,14,<10,16,56,32,57,53,61,17,30,66,19,71,17,43,50,22,20,18,<10,18,29,12,<10,83,64,<10,12,<10,<10,<10,<10,<10,<10,<10,6
2020/04/27 07:00:00+00,50,<10,,,34,34,<10,24,<10,100,296,35,56,449,10,51,90,69,113,86,<10,<10,28,<10,27,32,23,110,20,174,53,64,21,14,<10,16,56,32,58,53,63,17,30,69,19,71,17,43,53,22,20,18,<10,18,29,12,<10,84,66,<10,14,<10,<10,<10,<10,<10,<10,<10,7
2020/04/28 07:00:00+00,50,<10,,,34,34,<10,25,<10,102,310,36,57,453,10,52,91,69,115,86,<10,<10,28,<10,29,32,23,113,22,185,53,64,21,15,<10,16,57,32,59,54,63,17,30,69,20,72,17,44,54,22,21,18,<10,18,29,12,<10,84,66,<10,14,<10,<10,<10,<10,<10,<10,<10,8
2020/04/29 07:00:00+00,51,<10,,,34,35,<10,25,<10,103,317,36,58,459,10,52,92,70,128,87,<10,<10,28,<10,29,33,23,126,22,190,54,65,21,15,<10,16,58,32,59,54,65,18,30,70,20,75,18,44,54,22,21,19,<10,19,29,12,<10,84,67,<10,15,<10,<10,<10,<10,<10,<10,<10,9
2020/04/30 07:00:00+00,52,<10,,,35,35,<10,25,<10,104,327,37,58,475,10,52,93,73,130,87,<10,<10,28,<10,29,33,23,127,22,199,55,65,21,16,<10,17,58,32,60,55,65,18,31,73,20,81,18,45,55,24,22,19,<10,19,29,12,<10,84,72,<10,16,<10,<10,<10,<10,<10,<10,<10,10
2020/05/01 07:00:00+00,52,<10,,,35,36,<10,25,<10,105,343,39,59,501,10,52,99,76,134,90,<10,<10,29,<10,30,33,23,131,22,211,57,67,21,18,<10,17,59,32,60,59,69,19,31,76,20,93,18,47,56,26,27,19,<10,19,29,13,<10,84,75,<10,16,<10,<10,<10,<10,<10,<10,<10,11
2020/05/02 07:00:00+00,53,<10,,,35,37,<10,25,<10,110,355,40,60,516,10,53,99,77,136,92,<10,<10,30,<10,33,33,24,133,22,222,57,68,21,19,10,18,60,32,60,59,70,19,31,77,21,99,18,48,58,26,27,19,<10,19,29,13,<10,84,81,<10,17,<10,<10,<10,<10,<10,<10,<10,12
2020/05/03 07:00:00+00,54,<10,,,35,37,<10,25,<10,110,356,40,60,530,10,53,102,77,140,94,<10,<10,30,<10,33,33,24,137,22,223,57,70,21,19,10,18,60,32,60,60,72,19,31,77,21,102,18,49,59,29,29,19,<10,20,29,13,<10,85,83,<10,17,<10,<10,<10,<10,<10,<10,<10,13
2020/05/04 07:00:00+00,55,<10,,,35,37,<10,26,<10,113,362,40,61,540,10,53,105,77,149,94,<10,<10,30,<10,33,36,24,145,22,228,57,70,21,19,10,18,61,32,61,62,73,19,33,77,21,107,18,49,59,30,29,19,<10,21,29,14,<10,85,85,10,17,<10,<10,<10,<10,<10,<10,<10,14
2020/05/05 07:00:00+00,59,<10,,,35,37,<10,26,<10,114,378,40,63,557,10,53,105,77,152,94,<10,<10,30,<10,33,36,25,146,22,243,57,70,21,19,10,18,63,32,61,62,74,19,35,77,21,108,18,52,62,33,32,19,<10,22,29,14,<10,85,88,11,19,<10,<10,<10,<10,<10,<10,<10,15
2020/05/06 07:00:00+00,62,<10,,,35,37,<10,26,<10,117,391,41,63,579,10,55,107,79,158,96,<10,<10,30,<10,33,39,25,151,24,251,57,72,22,19,10,18,63,34,61,62,76,19,39,79,21,113,18,57,64,35,34,19,<10,22,30,16,<10,85,91,12,20,<10,<10,<10,<10,<10,<10,<10,16
2020/05/07 07:00:00+00,64,<10,,,35,37,<10,26,<10,117,403,42,63,599,10,55,108,81,161,97,<10,<10,30,<10,33,39,25,155,24,259,58,73,23,19,10,18,63,34,61,63,76,19,41,81,21,122,19,58,66,37,34,22,<10,22,30,17,<10,86,92,13,20,<10,<10,<10,<10,<10,<10,<10,17
