dtcreate,Berkeley_Berkeley_LHJ,Under_Investigation,Homeless,Address_Unknown,Santa_Rita_Jail,Alameda,Albany,Dublin,Emeryville,Fremont,Hayward,Livermore,Newark,Oakland,Piedmont,Pleasanton,Remainder_of_County,San_Leandro,Sunol,Union_City,Eden_Area_MAC,Castro_Valley__MAC,Fairview_MAC,ZC_94501,ZC_94502,ZC_94505,ZC_94514,ZC_94536,ZC_94538,ZC_94539,ZC_94541,ZC_94542,ZC_94544,ZC_94545,ZC_94546,ZC_94550,ZC_94551,ZC_94552,ZC_94555,ZC_94560,ZC_94566,ZC_94568,ZC_94577,ZC_94578,ZC_94579,ZC_94580,ZC_94586,ZC_94587,ZC_94588,ZC_94601,ZC_94602,ZC_94603,ZC_94605,ZC_94606,ZC_94607,ZC_94608,ZC_94609,ZC_94610,ZC_94611,ZC_94612,ZC_94613,ZC_94618,ZC_94619,ZC_94621,ZC_94702,ZC_94703,ZC_94704,ZC_94705,ZC_94706,ZC_94707,ZC_94708,ZC_94709,ZC_94710,ZC_94720,ZC_95377,ZC_95391,GlobalID,OBJECTID
2020/06/13 08:00:00+00,114,19,80,25,57,59,<10,33,14,223,763,59,123,1810,13,68,<10,199,<10,153,275,139,42,49,10,0,0,65,93,34,306,32,498,114,102,33,28,18,29,123,39,90,107,133,38,75,<10,153,29,571,63,245,163,137,64,45,15,33,51,24,0,<10,142,276,28,40,13,<10,12,<10,<10,<10,12,0,0,0,7d086bd7-ecad-4130-90cc-b23267093f39,108
2020/06/14 08:00:00+00,114,20,81,28,57,63,<10,35,14,225,777,61,125,1843,13,68,<10,205,<10,156,281,146,43,53,10,0,0,66,94,34,309,32,510,115,110,34,29,18,29,125,39,92,113,134,38,78,<10,156,29,578,63,251,163,143,65,46,15,34,51,24,0,<10,146,283,28,40,13,<10,12,<10,<10,<10,12,0,0,0,6f13f084-c2f9-46eb-9f37-ac527f426c0c,109
2020/06/15 08:00:00+00,114,20,81,31,57,66,<10,35,14,226,800,66,126,1864,13,68,<10,207,<10,156,285,146,45,56,10,0,0,67,94,34,312,33,530,116,110,36,32,18,29,126,39,92,114,134,39,82,<10,156,29,584,63,258,163,146,67,46,15,34,51,25,0,<10,146,284,28,40,13,<10,12,<10,<10,<10,12,0,0,0,106525d3-9ef7-456b-b392-c9000982c6ab,110
2020/06/16 08:00:00+00,115,20,83,31,58,67,<10,35,14,227,826,70,128,1891,13,69,<10,210,<10,159,294,146,49,57,10,0,0,67,95,34,322,33,554,117,110,38,34,18,29,128,39,93,116,136,39,85,<10,159,30,599,64,264,164,147,68,46,15,34,51,25,0,<10,146,286,28,41,13,<10,12,<10,<10,<10,12,0,0,0,49a5e211-9f5e-4312-ab10-2cacca42541c,111
2020/06/17 08:00:00+00,116,21,83,35,58,68,<10,37,14,231,837,88,129,1924,13,70,<10,211,<10,159,304,149,49,58,10,0,0,69,96,34,330,33,563,118,113,49,41,18,30,129,40,95,117,138,39,86,<10,159,30,604,64,271,165,151,68,46,15,34,51,25,0,<10,146,302,28,41,13,<10,12,<10,<10,<10,13,0,0,0,3fcc3e80-ece7-473a-8435-80a9c53b4d59,112
2020/06/18 08:00:00+00,118,21,83,36,58,68,<10,39,14,231,850,92,129,1940,13,72,<10,212,<10,163,306,149,49,58,10,0,0,69,96,34,333,33,569,122,113,51,43,18,30,129,42,97,118,139,39,87,<10,163,30,607,65,275,168,152,68,47,15,34,52,25,0,<10,146,304,28,41,14,<10,12,<10,<10,<10,13,0,0,0,01b25f89-a0ac-487f-b4c5-cbd787f950b0,113
2020/06/19 08:00:00+00,120,23,84,41,58,71,10,42,14,238,868,109,142,1997,13,76,<10,222,<10,166,316,156,50,61,10,0,0,73,97,36,341,34,583,124,118,60,51,18,30,142,45,100,122,150,39,88,<10,166,31,629,68,284,173,157,68,48,15,37,53,25,0,<10,149,309,28,41,16,<10,13,<10,<10,<10,13,0,0,0,b13b8c04-5216-42ca-8c1d-f18b72bb44c2,114
2020/06/20 08:00:00+00,123,24,88,41,58,71,10,43,15,241,876,112,145,2062,13,79,<10,231,<10,167,319,160,61,61,10,0,0,74,97,37,354,34,588,126,121,60,54,18,31,145,46,101,127,155,41,88,<10,167,33,648,68,293,179,162,69,58,16,37,54,27,0,<10,149,321,30,41,16,<10,13,<10,<10,<10,13,0,0,0,10b81f88-f364-417d-9ab8-78dc16aae92d,115
2020/06/21 08:00:00+00,124,26,90,41,59,73,10,45,18,251,892,123,146,2153,13,82,<10,245,<10,175,326,163,62,63,10,0,0,76,104,38,360,35,599,129,123,66,59,18,31,146,48,104,137,161,42,89,<10,175,34,679,68,312,191,167,73,62,17,39,55,27,0,<10,152,333,30,41,16,<10,13,<10,<10,<10,14,0,0,0,61b6c7a0-532a-45a1-9fc4-6a6511356575,116
2020/06/22 08:00:00+00,131,28,90,50,59,74,11,45,18,255,906,127,149,2209,13,82,<10,251,<10,177,333,165,63,64,10,0,0,77,106,38,371,35,606,130,125,69,60,18,32,149,48,104,141,165,42,90,<10,177,34,698,70,323,192,172,76,63,18,39,56,27,0,<10,157,338,31,44,17,10,14,<10,<10,<10,14,0,0,0,e80192bd-9415-4212-9bae-d312968d887d,117
